Date,Open,High,Low,Close,Adj Close,Volume
12/10/2020,1.336666,1.338957,1.324995,1.336702,1.336702,0
12/11/2020,1.33023,1.3325,1.313698,1.330566,1.330566,0
12/14/2020,1.331824,1.344375,1.329328,1.331824,1.331824,0
12/15/2020,1.332539,1.344863,1.328515,1.333084,1.333084,0
12/16/2020,1.34476,1.355014,1.343544,1.344447,1.344447,0
12/17/2020,1.350293,1.362194,1.349673,1.350293,1.350293,0
12/18/2020,1.356944,1.357239,1.347473,1.357018,1.357018,0
12/21/2020,1.340267,1.341184,1.319226,1.340195,1.340195,0
12/22/2020,1.344827,1.345659,1.330955,1.344954,1.344954,0
12/23/2020,1.339746,1.356135,1.337292,1.339944,1.339944,0
12/24/2020,1.351114,1.362027,1.350713,1.35053,1.35053,0
12/25/2020,1.356963,1.3613,1.351534,1.355201,1.355201,0
12/28/2020,1.357368,1.357773,1.343598,1.357239,1.357239,0
12/29/2020,1.346566,1.352064,1.346185,1.346602,1.346602,0
12/30/2020,1.349764,1.361748,1.349455,1.34999,1.34999,0
12/31/2020,1.362992,1.368457,1.360933,1.363066,1.363066,0
01/01/2021,1.369,1.369,1.3666,1.367301,1.367301,0
01/04/2021,1.36827,1.370379,1.354903,1.36842,1.36842,0
01/05/2021,1.357294,1.362583,1.355565,1.35716,1.35716,0
01/06/2021,1.362639,1.366979,1.354298,1.362955,1.362955,0
01/07/2021,1.362231,1.363382,1.354133,1.362528,1.362528,0
01/08/2021,1.356815,1.363178,1.354041,1.356963,1.356963,0
01/11/2021,1.3521,1.352979,1.345424,1.351625,1.351625,0
01/12/2021,1.352576,1.363568,1.350767,1.352411,1.352411,0
01/13/2021,1.36689,1.369994,1.362249,1.367054,1.367054,0
01/14/2021,1.364722,1.369319,1.36173,1.364927,1.364927,0
01/15/2021,1.368363,1.369788,1.357405,1.368363,1.368363,0
01/18/2021,1.357423,1.358991,1.3521,1.357534,1.357534,0
01/19/2021,1.358253,1.362788,1.358253,1.358124,1.358124,0
01/20/2021,1.364498,1.37146,1.362416,1.364424,1.364424,0
01/21/2021,1.366662,1.374533,1.366064,1.366848,1.366848,0
01/22/2021,1.373042,1.37374,1.363717,1.372947,1.372947,0
01/25/2021,1.368719,1.372288,1.365113,1.36882,1.36882,0
01/26/2021,1.367559,1.374419,1.361044,1.367899,1.367899,0
01/27/2021,1.374174,1.375989,1.366232,1.374155,1.374155,0
01/28/2021,1.367353,1.373268,1.363159,1.366942,1.366942,0
01/29/2021,1.372646,1.375119,1.365878,1.372501,1.372501,0
02/01/2021,1.369807,1.375686,1.365803,1.369769,1.369769,0
02/02/2021,1.367559,1.370952,1.361359,1.367877,1.367877,0
02/03/2021,1.366214,1.368232,1.362101,1.365934,1.365934,0
02/04/2021,1.365039,1.369863,1.357147,1.364908,1.364908,0
02/05/2021,1.367278,1.374004,1.366755,1.367615,1.367615,0
02/08/2021,1.373928,1.374986,1.368251,1.373872,1.373872,0
02/09/2021,1.37457,1.379881,1.374382,1.37457,1.37457,0
02/10/2021,1.381654,1.386599,1.380453,1.381799,1.381799,0
02/11/2021,1.383241,1.385617,1.381082,1.38326,1.38326,0
02/12/2021,1.381101,1.385675,1.377695,1.381025,1.381025,0
02/15/2021,1.387155,1.391971,1.386689,1.387155,1.387155,0
02/16/2021,1.391362,1.395148,1.387059,1.391479,1.391479,0
02/17/2021,1.388638,1.39026,1.383145,1.388812,1.388812,0
02/18/2021,1.386597,1.398445,1.384064,1.386636,1.386636,0
02/19/2021,1.396804,1.403509,1.395206,1.396746,1.396746,0
02/22/2021,1.402761,1.407598,1.398152,1.403115,1.403115,0
02/23/2021,1.407024,1.411472,1.405738,1.407123,1.407123,0
02/24/2021,1.41209,1.421707,1.408709,1.412031,1.412031,0
02/25/2021,1.414547,1.418218,1.410059,1.414827,1.414827,0
02/26/2021,1.400541,1.402013,1.389082,1.400815,1.400815,0
03/01/2021,1.397624,1.399972,1.390569,1.397253,1.397253,0
03/02/2021,1.392874,1.396219,1.385982,1.392952,1.392952,0
03/03/2021,1.395479,1.400325,1.392292,1.395498,1.395498,0
03/04/2021,1.39237,1.40111,1.391788,1.392699,1.392699,0
03/05/2021,1.389506,1.39053,1.37817,1.38941,1.38941,0
03/08/2021,1.384811,1.385999,1.380281,1.385368,1.385368,0
03/09/2021,1.382437,1.392118,1.380338,1.382361,1.382361,0
03/10/2021,1.38871,1.393417,1.384677,1.389043,1.389043,0
03/11/2021,1.39313,1.398054,1.392176,1.393146,1.393146,0
03/12/2021,1.398641,1.400403,1.386789,1.398993,1.398993,0
03/15/2021,1.393088,1.394895,1.385425,1.392952,1.392952,0
03/16/2021,1.390028,1.390125,1.381139,1.389912,1.389912,0
03/17/2021,1.390279,1.392699,1.386886,1.390221,1.390221,0
03/18/2021,1.397312,1.40005,1.389835,1.397585,1.397585,0
03/19/2021,1.392312,1.395654,1.383279,1.392506,1.392506,0
03/22/2021,1.383489,1.387521,1.381884,1.38326,1.38326,0
03/23/2021,1.386021,1.386309,1.375592,1.386251,1.386251,0
03/24/2021,1.373626,1.374249,1.367484,1.373042,1.373042,0
03/25/2021,1.369019,1.373909,1.367073,1.368888,1.368888,0
03/26/2021,1.374778,1.380987,1.374344,1.374911,1.374911,0
03/29/2021,1.37893,1.384658,1.375724,1.379101,1.379101,0
03/30/2021,1.377467,1.37836,1.370821,1.377505,1.377505,0
03/31/2021,1.374759,1.381025,1.371817,1.374665,1.374665,0
04/01/2021,1.378873,1.3837,1.37493,1.378626,1.378626,0
04/02/2021,1.383509,1.385425,1.381444,1.383509,1.383509,0
04/05/2021,1.382973,1.391382,1.381425,1.383126,1.383126,0
04/06/2021,1.391324,1.391982,1.381941,1.391401,1.391401,0
04/07/2021,1.383069,1.383968,1.373023,1.383126,1.383126,0
04/08/2021,1.374023,1.37836,1.372043,1.374382,1.374382,0
04/09/2021,1.373626,1.375327,1.367185,1.373438,1.373438,0
04/12/2021,1.370858,1.377714,1.367054,1.371215,1.371215,0
04/13/2021,1.375421,1.3769,1.370276,1.375383,1.375383,0
04/14/2021,1.376273,1.380891,1.375062,1.37597,1.37597,0
04/15/2021,1.37779,1.380891,1.376273,1.377923,1.377923,0
04/16/2021,1.378474,1.382762,1.371893,1.37855,1.37855,0
04/19/2021,1.381941,1.399189,1.381044,1.381845,1.381845,0
04/20/2021,1.399208,1.400953,1.393592,1.399384,1.399384,0
04/21/2021,1.393728,1.394895,1.388696,1.393884,1.393884,0
04/22/2021,1.39328,1.395089,1.382858,1.393185,1.393185,0
04/23/2021,1.384409,1.389661,1.383719,1.384026,1.384026,0
04/26/2021,1.386713,1.392932,1.386674,1.386636,1.386636,0
04/27/2021,1.389468,1.39235,1.385944,1.389564,1.389564,0
04/28/2021,1.390301,1.392195,1.386251,1.390356,1.390356,0
04/29/2021,1.395673,1.397585,1.393301,1.395673,1.395673,0
04/30/2021,1.39505,1.395868,1.381025,1.395284,1.395284,0
05/03/2021,1.381922,1.393107,1.380548,1.381979,1.381979,0
05/04/2021,1.390395,1.390627,1.384064,1.390376,1.390376,0
05/05/2021,1.38887,1.392641,1.38779,1.388812,1.388812,0
05/06/2021,1.391246,1.393825,1.386655,1.390975,1.390975,0
05/07/2021,1.389642,1.40007,1.389198,1.389854,1.389854,0
05/10/2021,1.403749,1.415769,1.401581,1.40412,1.40412,0
05/11/2021,1.413228,1.415789,1.410656,1.413128,1.413128,0
05/12/2021,1.413727,1.415027,1.407836,1.413827,1.413827,0
05/13/2021,1.406035,1.407935,1.400796,1.406371,1.406371,0
05/14/2021,1.404692,1.411034,1.403706,1.405086,1.405086,0
05/17/2021,1.41,1.412829,1.407856,1.410179,1.410179,0
05/18/2021,1.414847,1.42205,1.414687,1.414867,1.414867,0
05/19/2021,1.419003,1.4202,1.413408,1.418802,1.418802,0
05/20/2021,1.410795,1.418138,1.410318,1.410616,1.410616,0
05/21/2021,1.418681,1.423346,1.415428,1.41856,1.41856,0
05/24/2021,1.414027,1.417133,1.411851,1.414287,1.414287,0
05/25/2021,1.415689,1.42104,1.411771,1.415609,1.415609,0
05/26/2021,1.414327,1.417635,1.411931,1.414387,1.414387,0
